BACKTEST ALL COINS SUMMARY
================================================================================

Date: 2025-11-14 18:22:51
Parameters: TP=3.0%, SL=1.20%
Total combinations: 56
Successful: 56

coin timeframe status   bars  signals  trades  wins  losses   win_rate       pf           pnl     return  capital_final
 DOT        4h     OK  11460      554      40     5      35  12.500000 0.354036 -22955.313111 -22.955313   77044.686889
 DOT        1d     OK   1911       48       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
LINK       15m     OK 238797     8045    1652   463    1189  28.026634 0.966506 -48379.294166 -48.379294   51620.705834
LINK        1h     OK  59707     2322     410   108     302  26.341463 0.890485 -34794.080874 -34.794081   65205.919126
LINK        4h     OK  14938      581      35     6      29  17.142857 0.517736 -15116.485286 -15.116485   84883.514714
LINK        1d     OK   2491       48       1     1       0 100.000000 0.000000   2850.000000   2.850000  102850.000000
 LTC       15m     OK 275055     9907    1889   574    1315  30.386448 1.086665 158146.826790 158.146827  258146.826790
 LTC        1h     OK  68775     3098     466   120     346  25.751073 0.838948 -44837.334574 -44.837335   55162.665426
 LTC        4h     OK  17209      839      56    10      46  17.857143 0.518786 -21838.867740 -21.838868   78161.132260
 LTC        1d     OK   2871      105       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
ALGO       15m     OK 223833     7976    1599   478    1121  29.893684 1.026548  76212.743662  76.212744  176212.743662
ALGO        1h     OK  55965     2301     367    94     273  25.613079 0.847269 -38647.918886 -38.647919   61352.081114
ALGO        4h     OK  14001      662      37    14      23  37.837838 1.445801  13850.275349  13.850275  113850.275349
ALGO        1d     OK   2334      124       2     0       2   0.000000 0.000000  -2267.004000  -2.267004   97732.996000
HBAR       15m     OK 214345     7244    1430   395    1035  27.622378 0.941834 -54677.949413 -54.677949   45322.050587
HBAR        1h     OK  53593     1876     363   109     254  30.027548 1.054635  16279.250302  16.279250  116279.250302
HBAR        4h     OK  13407      514      36    12      24  33.333333 1.227288   6401.095478   6.401095  106401.095478
HBAR        1d     OK   2235       85       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
 LDO       15m     OK 122994     4956     924   257     667  27.813853 0.948605 -34805.882228 -34.805882   65194.117772
 LDO        1h     OK  30749     1443     218    60     158  27.522936 0.918999 -11790.871854 -11.790872   88209.128146
 LDO        4h     OK   7689      422      15     8       7  53.333333 2.816961  15552.304482  15.552304  115552.304482
 LDO        1d     OK   1282       60       2     1       1  50.000000 2.430724   1677.510000   1.677510  101677.510000
 ENA       15m     OK  56387     2293     479   140     339  29.227557 1.011616   4854.463048   4.854463  104854.463048
 ENA        1h     OK  14097      724      84    29      55  34.523810 1.324593  20242.479104  20.242479  120242.479104
 ENA        4h     OK   3525      214       3     0       3   0.000000 0.000000  -3381.160154  -3.381160   96618.839846
 ENA        1d     OK    588       15       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
ONDO       15m     OK  20459      713     143    36     107  25.174825 0.813186 -19358.330093 -19.358330   80641.669907
ONDO        1h     OK   5115      162      38    14      24  36.842105 1.440905  12552.382210  12.552382  112552.382210
ONDO        4h     OK   1280       41       3     0       3   0.000000 0.000000  -3381.160154  -3.381160   96618.839846
ONDO        1d     OK    214        3       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
 SUI       15m     OK  88531     3211     686   195     491  28.425656 0.975407 -13909.479560 -13.909480   86090.520440
 SUI        1h     OK  22133      933     163    45     118  27.607362 0.931862  -8457.062539  -8.457063   91542.937461
 SUI        4h     OK   5534      250       7     3       4  42.857143 1.820726   3919.084627   3.919085  103919.084627
 SUI        1d     OK    923       41       1     1       0 100.000000 0.000000   2850.000000   2.850000  102850.000000
 UNI       15m     OK 180441     7009    1342   363     979  27.049180 0.914549 -65554.212637 -65.554213   34445.787363
 UNI        1h     OK  45114     2086     311    83     228  26.688103 0.880219 -24550.777805 -24.550778   75449.222195
 UNI        4h     OK  11285      612      23     2      21   8.695652 0.241497 -16854.007710 -16.854008   83145.992290
 UNI        1d     OK   1881       56       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
